fixture_id,seed_id,mutation_chain_id,depth,chain_depth,mutation_node_sequence,final_theory_hash,perturbation_class,label,ground_truth_label,repairable,source,split,verifier_status,verifier_config_hash,pair_origin,orbit_id_a,orbit_id_b,generation_depth_a,generation_depth_b,pair_generation_depth_max,pair_generation_depth_delta,pair_swapped,failed_obligation_names,failed_obligation_categories,n_gauge_nodes,n_fields,n_superpotential_terms,max_superpotential_monomial_length,n_r_charge_bearing_fields,input_token_estimate,theory_a_path,theory_b_path
dp0_toric_N3_d1_node0_positive_00,2284570358,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,positive,CERTIFIED,dual,0,dp0_toric,dev,CERTIFIED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,,,3,12,9,3,12,681,theories/dp0_toric_N3_d1_node0_positive_00.A.json,theories/dp0_toric_N3_d1_node0_positive_00.B.json
dp0_toric_N3_d1_node0_drop_w_term_00,3379564809,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,drop_w_term,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,bounded chiral-ring consistency,chiral_ring,3,12,8,3,12,665,theories/dp0_toric_N3_d1_node0_drop_w_term_00.A.json,theories/dp0_toric_N3_d1_node0_drop_w_term_00.B.json
dp0_toric_N3_d1_node0_drop_w_term_02,3453659267,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,drop_w_term,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,bounded chiral-ring consistency,chiral_ring,3,12,8,3,12,665,theories/dp0_toric_N3_d1_node0_drop_w_term_02.A.json,theories/dp0_toric_N3_d1_node0_drop_w_term_02.B.json
dp0_toric_N3_d1_node0_flip_w_sign_00,3691305769,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,flip_w_sign,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,bounded chiral-ring consistency,chiral_ring,3,12,9,3,12,682,theories/dp0_toric_N3_d1_node0_flip_w_sign_00.A.json,theories/dp0_toric_N3_d1_node0_flip_w_sign_00.B.json
dp0_toric_N3_d1_node0_r_charge_perturb_00,2963220979,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,r_charge_perturb,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,magnetic gauge-global mixed anomaly cancellation;magnetic superpotential consistency;global anomaly matching;central charge matching from encoded R-symmetry,anomaly;superpotential;anomaly;r_charge,3,12,9,3,12,681,theories/dp0_toric_N3_d1_node0_r_charge_perturb_00.A.json,theories/dp0_toric_N3_d1_node0_r_charge_perturb_00.B.json
dp0_toric_N3_d1_node0_r_charge_perturb_01,232454333,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,r_charge_perturb,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,magnetic gauge-global mixed anomaly cancellation;magnetic superpotential consistency;global anomaly matching;central charge matching from encoded R-symmetry,anomaly;superpotential;anomaly;r_charge,3,12,9,3,12,681,theories/dp0_toric_N3_d1_node0_r_charge_perturb_01.A.json,theories/dp0_toric_N3_d1_node0_r_charge_perturb_01.B.json
dp0_toric_N3_d1_node0_r_charge_perturb_02,3293186114,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,r_charge_perturb,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,magnetic gauge-global mixed anomaly cancellation;magnetic superpotential consistency;global anomaly matching;central charge matching from encoded R-symmetry,anomaly;superpotential;anomaly;r_charge,3,12,9,3,12,681,theories/dp0_toric_N3_d1_node0_r_charge_perturb_02.A.json,theories/dp0_toric_N3_d1_node0_r_charge_perturb_02.B.json
dp0_toric_N3_d1_node0_r_charge_perturb_03,3260453066,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,r_charge_perturb,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,magnetic gauge-global mixed anomaly cancellation;magnetic superpotential consistency;global anomaly matching;central charge matching from encoded R-symmetry,anomaly;superpotential;anomaly;r_charge,3,12,9,3,12,681,theories/dp0_toric_N3_d1_node0_r_charge_perturb_03.A.json,theories/dp0_toric_N3_d1_node0_r_charge_perturb_03.B.json
dp0_toric_N3_d1_node0_rank_perturb_00,3970682576,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,rank_perturb,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,magnetic gauge anomaly cancellation;magnetic gauge-global mixed anomaly cancellation;global anomaly matching;central charge matching from encoded R-symmetry,anomaly;anomaly;anomaly;r_charge,3,12,9,3,12,681,theories/dp0_toric_N3_d1_node0_rank_perturb_00.A.json,theories/dp0_toric_N3_d1_node0_rank_perturb_00.B.json
dp0_toric_N3_d1_node0_rank_perturb_01,1627245358,dp0_toric:s2500693714:d1:nodes[0]:fe93ce617632,1,1,0,fe93ce617632133e574a70c373485dd484d0a08f099b20bdf3ea26d948e84bb0,rank_perturb,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,magnetic gauge anomaly cancellation;magnetic gauge-global mixed anomaly cancellation;global anomaly matching;central charge matching from encoded R-symmetry,anomaly;anomaly;anomaly;r_charge,3,12,9,3,12,681,theories/dp0_toric_N3_d1_node0_rank_perturb_01.A.json,theories/dp0_toric_N3_d1_node0_rank_perturb_01.B.json
